date,weekend,rain,snowdpth,snow,trips,pmt
2012-01-01,1,0.05,0,0,"	212782",1011660
2012-01-02,0,0,0,0,"	341383",1914804
2012-01-03,0,0,0,0,"	438458",2084644
2012-01-04,0,0,0,0,"	473987",2122041
2012-01-05,0,0,0,0,"	488687",2189748
2012-01-06,0,0,0,0,"	511882",2299542
2012-01-07,1,0,0,0,"	524583",2536854
2012-01-08,1,0,0,0,"	463563",2411816
2012-01-09,0,0,0,0,"	439368",2015567
2012-01-10,0,0,0,0,"	471469",2070277
2012-01-11,0,0.07,0,0,"	493715",2182458
2012-01-12,0,1.38,0,0,"	514148",2283317
2012-01-13,0,0.09,0,0,"	557470",2531272
2012-01-14,1,0,0,0,"	545057",2618037
2012-01-15,1,0,0,0,"	518708",2580676
2012-01-16,0,0.04,0,0,"	418762",2064328
2012-01-17,0,0.19,0,0,"	488425",2174556
2012-01-18,0,0,0,0,"	518452",2289617
2012-01-19,0,0,0,0,"	528313",2364646
2012-01-20,0,0,0,0,"	566619",2523620
2012-01-21,1,0.39,1,4.3,"	522087",2452773
2012-01-22,1,0,3,0,"	468849",2398225
2012-01-23,0,0.37,2,0,"	444752",1997131
2012-01-24,0,0,0,0,"	471701",2061119
2012-01-25,0,0,0,0,"	508498",2231456
2012-01-26,0,0.18,0,0,"	534698",2356357
2012-01-27,0,0.47,0,0,"	549222",2455456
2012-01-28,1,0,0,0,"	554706",2625430
2012-01-29,1,0,0,0,"	467885",2456302
2012-01-30,0,0,0,0,"	453891",2032512
2012-01-31,0,0,0,0,"	476997",2071499
2012-02-01,0,0.03,0,0,"	497863",2182017
2012-02-02,0,0,0,0,"	536346",2377483
2012-02-03,0,0,0,0,"	562768",2506074
2012-02-04,1,0,0,0,"	547815",2570194
2012-02-05,1,0,0,0,"	477174",2471843
2012-02-06,0,0,0,0,"	466666",2154076
2012-02-07,0,0,0,0,"	485974",2093453
2012-02-08,0,0.01,0,0,"	522019",2257268
2012-02-09,0,0,0,0,"	541616",2424002
2012-02-10,0,0,0,0,"	577540",2642280
2012-02-11,1,0.08,0,0,"	589609",2777419
2012-02-12,1,0.01,0,0.2,"	514642",2610483
2012-02-13,0,0,0,0,"	491284",2191583
2012-02-14,0,0.02,0,0,"	531883",2291066
2012-02-15,0,0.01,0,0,"	541026",2453360
2012-02-16,0,0.19,0,0,"	542061",2478127
2012-02-17,0,0.03,0,0,"	544931",2610138
2012-02-18,1,0.02,0,0,"	538830",2671833
2012-02-19,1,0,0,0,"	476508",2471447
2012-02-20,0,0,0,0,"	420026",2198624
2012-02-21,0,0,0,0,"	473859",2199750
2012-02-22,0,0,0,0,"	498686",2256813
2012-02-23,0,0,0,0,"	527637",2458265
2012-02-24,0,0.6,0,0,"	560829",2566150
2012-02-25,1,0,0,0,"	574939",2778179
2012-02-26,1,0,0,0,"	469136",2524492
2012-02-27,0,0,0,0,"	444577",2118984
2012-02-28,0,0,0,0,"	495127",2220638
2012-02-29,0,0.37,0,0,"	532150",2341896
2012-03-01,0,0.13,0,0,"	526559",2418460
2012-03-02,0,0.16,0,0,"	578422",2656339
2012-03-03,1,0.12,0,0,"	557669",2709349
2012-03-04,1,0,0,0,"	485995",2613811
2012-03-05,0,0,0,0,"	482835",2245301
2012-03-06,0,0,0,0,"	515123",2275295
2012-03-07,0,0,0,0,"	526420",2400392
2012-03-08,0,0,0,0,"	547564",2576529
2012-03-09,0,0.02,0,0,"	583989",2746871
2012-03-10,1,0,0,0,"	584033",2847891
2012-03-11,1,0,0,0,"	462052",2530055
2012-03-12,0,0,0,0,"	451512",2181933
2012-03-13,0,0.04,0,0,"	492437",2265704
2012-03-14,0,0,0,0,"	514429",2414444
2012-03-15,0,0,0,0,"	551806",2578975
2012-03-16,0,0.03,0,0,"	563313",2665943
2012-03-17,1,0,0,0,"	559115",2883782
2012-03-18,1,0,0,0,"	459165",2610355
2012-03-19,0,0,0,0,"	436371",2172223
2012-03-20,0,0,0,0,"	476880",2220169
2012-03-21,0,0,0,0,"	507290",2353580
2012-03-22,0,0,0,0,"	530119",2542602
2012-03-23,0,0,0,0,"	560953",2699337
2012-03-24,1,0.01,0,0,"	553807",2749686
2012-03-25,1,0.06,0,0,"	470596",2594785
2012-03-26,0,0,0,0,"	475909",2287909
2012-03-27,0,0,0,0,"	498887",2284010
2012-03-28,0,0.02,0,0,"	511830",2397520
2012-03-29,0,0,0,0,"	536892",2528508
2012-03-30,0,0.11,0,0,"	562970",2690482
2012-03-31,1,0.26,0,0,"	581973",2827975
2012-04-01,1,0.51,0,0,"	496473",2687810
2012-04-02,0,0.04,0,0,"	480469",2283615
2012-04-03,0,0,0,0,"	506070",2330537
2012-04-04,0,0,0,0,"	530029",2467026
2012-04-05,0,0,0,0,"	546036",2604978
2012-04-06,0,0,0,0,"	544558",2651644
2012-04-07,1,0,0,0,"	490369",2445571
2012-04-08,1,0,0,0,"	417649",2354008
2012-04-09,0,0,0,0,"	452039",2245722
2012-04-10,0,0,0,0,"	501356",2350645
2012-04-11,0,0,0,0,"	524150",2421836
2012-04-12,0,0,0,0,"	540816",2553213
2012-04-13,0,0,0,0,"	555592",2671236
2012-04-14,1,0,0,0,"	564375",2861198
2012-04-15,1,0,0,0,"	474317",2672750
2012-04-16,0,0,0,0,"	465719",2311832
2012-04-17,0,0,0,0,"	497401",2309327
2012-04-18,0,0.01,0,0,"	531419",2455987
2012-04-19,0,0.04,0,0,"	541847",2589460
2012-04-20,0,0,0,0,"	560298",2709914
2012-04-21,1,0.22,0,0,"	556334",2785153
2012-04-22,1,2.45,0,0,"	520997",2700034
2012-04-23,0,0.22,0,0,"	491283",2333102
2012-04-24,0,0,0,0,"	518015",2380353
2012-04-25,0,0,0,0,"	530067",2483077
2012-04-26,0,0.03,0,0,"	542983",2586095
2012-04-27,0,0.04,0,0,"	563439",2724902
2012-04-28,1,0,0,0,"	565317",2813242
2012-04-29,1,0,0,0,"	487665",2711659
2012-04-30,0,0,0,0,"	480828",2337294
2012-05-01,0,0.62,0,0,"	497454",2312850
2012-05-02,0,0.08,0,0,"	528684",2435912
2012-05-03,0,0.47,0,0,"	541753",2591164
2012-05-04,0,0.1,0,0,"	559049",2744228
2012-05-05,1,0,0,0,"	574848",2886465
2012-05-06,1,0,0,0,"	484619",2735263
2012-05-07,0,0.01,0,0,"	487444",2385361
2012-05-08,0,0.04,0,0,"	515754",2371126
2012-05-09,0,0.33,0,0,"	533648",2488192
2012-05-10,0,0.19,0,0,"	540397",2613993
2012-05-11,0,0,0,0,"	550499",2718384
2012-05-12,1,0,0,0,"	546882",2795244
2012-05-13,1,0,0,0,"	465843",2651743
2012-05-14,0,0,0,0,"	471847",2345669
2012-05-15,0,0.54,0,0,"	506310",2387993
2012-05-16,0,0.09,0,0,"	526910",2571612
2012-05-17,0,0,0,0,"	536736",2691649
2012-05-18,0,0,0,0,"	551151",2780472
2012-05-19,1,0,0,0,"	527801",2774127
2012-05-20,1,0,0,0,"	473153",2721695
2012-05-21,0,1.4,0,0,"	483365",2347773
2012-05-22,0,0.23,0,0,"	503923",2376001
2012-05-23,0,0.03,0,0,"	516313",2463109
2012-05-24,0,0.95,0,0,"	507996",2461111
2012-05-25,0,0,0,0,"	497131",2490716
2012-05-26,1,0.02,0,0,"	436846",2336148
2012-05-27,1,0.06,0,0,"	378333",2106057
2012-05-28,0,0,0,0,"	342774",2066385
2012-05-29,0,0.21,0,0,"	471925",2264520
2012-05-30,0,0.01,0,0,"	496986",2370578
2012-05-31,0,0,0,0,"	511142",2451914
2012-06-01,0,0.25,0,0,"	548802",2663572
2012-06-02,1,0.39,0,0,"	513100",2603841
2012-06-03,1,0.01,0,0,"	452251",2565550
2012-06-04,0,0.18,0,0,"	477167",2309504
2012-06-05,0,0.01,0,0,"	511597",2403268
2012-06-06,0,0.01,0,0,"	523262",2476014
2012-06-07,0,0.01,0,0,"	538011",2629014
2012-06-08,0,0,0,0,"	545823",2692423
2012-06-09,1,0,0,0,"	523509",2682330
2012-06-10,1,0,0,0,"	441048",2575433
2012-06-11,0,0,0,0,"	469554",2338239
2012-06-12,0,1.02,0,0,"	508298",2321331
2012-06-13,0,0.32,0,0,"	521020",2449396
2012-06-14,0,0,0,0,"	528607",2567204
2012-06-15,0,0,0,0,"	537601",2676088
2012-06-16,1,0,0,0,"	507227",2633951
2012-06-17,1,0,0,0,"	436561",2540145
2012-06-18,0,0,0,0,"	454274",2276215
2012-06-19,0,0,0,0,"	496825",2360587
2012-06-20,0,0,0,0,"	531734",2495785
2012-06-21,0,0,0,0,"	550982",2628787
2012-06-22,0,0.35,0,0,"	546016",2631182
2012-06-23,1,0,0,0,"	508957",2709681
2012-06-24,1,0.06,0,0,"	444539",2573572
2012-06-25,0,0.15,0,0,"	456040",2260938
2012-06-26,0,0,0,0,"	485211",2371734
2012-06-27,0,0,0,0,"	507550",2432210
2012-06-28,0,0,0,0,"	517787",2523510
2012-06-29,0,0.21,0,0,"	532261",2621725
2012-06-30,1,0,0,0,"	480846",2517966
2012-07-01,1,0,0,0,"	424112",2384112
2012-07-02,0,0,0,0,"	409243",1987014
2012-07-03,0,0,0,0,"	449319",2095467
2012-07-04,0,0.06,0,0,"	379565",2022914
2012-07-05,0,0,0,0,"	420664",2033827
2012-07-06,0,0,0,0,"	437348",2106850
2012-07-07,1,0.5,0,0,"	423072",2222976
2012-07-08,1,0.09,0,0,"	392852",2301183
2012-07-09,0,0,0,0,"	431480",2181194
2012-07-10,0,0,0,0,"	475189",2250997
2012-07-11,0,0,0,0,"	506013",2399097
2012-07-12,0,0,0,0,"	515258",2508773
2012-07-13,0,0,0,0,"	528210",2578751
2012-07-14,1,0,0,0,"	484527",2527241
2012-07-15,1,0.26,0,0,"	446608",2485557
2012-07-16,0,0,0,0,"	455194",2312065
2012-07-17,0,0,0,0,"	502991",2364516
2012-07-18,0,1.76,0,0,"	492858",2269049
2012-07-19,0,0.02,0,0,"	510436",2533286
2012-07-20,0,0.58,0,0,"	514343",2520144
2012-07-21,1,0,0,0,"	470690",2468322
2012-07-22,1,0,0,0,"	425023",2459652
2012-07-23,0,0.15,0,0,"	456709",2248734
2012-07-24,0,0,0,0,"	494027",2322352
2012-07-25,0,0,0,0,"	499743",2405929
2012-07-26,0,0.6,0,0,"	514587",2445089
2012-07-27,0,0,0,0,"	514025",2615843
2012-07-28,1,0.18,0,0,"	482502",2514233
2012-07-29,1,0.01,0,0,"	418627",2386175
2012-07-30,0,0,0,0,"	436752",2204927
2012-07-31,0,0,0,0,"	467334",2238960
2012-08-01,0,0.64,0,0,"	473879",2236600
2012-08-02,0,0,0,0,"	511700",2495344
2012-08-03,0,0,0,0,"	522304",2585180
2012-08-04,1,0,0,0,"	482992",2513184
2012-08-05,1,0.22,0,0,"	434836",2423054
2012-08-06,0,0.01,0,0,"	438462",2270939
2012-08-07,0,0,0,0,"	467911",2242209
2012-08-08,0,0,0,0,"	491155",2347306
2012-08-09,0,0,0,0,"	512103",2451036
2012-08-10,0,0.24,0,0,"	512629",2579660
2012-08-11,1,0,0,0,"	463899",2489466
2012-08-12,1,0,0,0,"	403362",2372376
2012-08-13,0,0,0,0,"	417636",2135897
2012-08-14,0,0.01,0,0,"	462678",2240565
2012-08-15,0,0.57,0,0,"	477867",2297561
2012-08-16,0,0,0,0,"	497924",2499169
2012-08-17,0,0.15,0,0,"	507548",2566276
2012-08-18,1,0.32,0,0,"	463511",2489759
2012-08-19,1,0,0,0,"	388379",2294279
2012-08-20,0,0,0,0,"	412445",2158949
2012-08-21,0,0,0,0,"	452692",2204022
2012-08-22,0,0,0,0,"	470301",2308244
2012-08-23,0,0,0,0,"	491305",2467634
2012-08-24,0,0,0,0,"	487593",2518217
2012-08-25,1,0,0,0,"	456603",2500105
2012-08-26,1,0,0,0,"	402829",2408482
2012-08-27,0,0.61,0,0,"	409873",2124196
2012-08-28,0,0.14,0,0,"	452675",2212897
2012-08-29,0,0,0,0,"	460014",2295809
2012-08-30,0,0,0,0,"	475769",2454934
2012-08-31,0,0,0,0,"	478865",2591012
2012-09-01,1,0,0,0,"	441713",2495600
2012-09-02,1,0,0,0,"	388703",2274096
2012-09-03,0,0,0,0,"	347615",2233713
2012-09-04,0,0.13,0,0,"	456512",2340573
2012-09-05,0,0.07,0,0,"	501150",2460115
2012-09-06,0,0,0,0,"	529502",2623815
2012-09-07,0,0,0,0,"	566503",2824574
2012-09-08,1,0.39,0,0,"	558611",2851855
2012-09-09,1,0,0,0,"	485531",2780697
2012-09-10,0,0,0,0,"	468765",2352046
2012-09-11,0,0,0,0,"	491633",2280477
2012-09-12,0,0,0,0,"	505646",2445761
2012-09-13,0,0,0,0,"	526471",2592884
2012-09-14,0,0,0,0,"	541363",2725964
2012-09-15,1,0.01,0,0,"	530859",2733864
2012-09-16,1,0,0,0,"	452545",2566029
2012-09-17,0,0,0,0,"	399463",2042479
2012-09-18,0,1.54,0,0,"	457179",2134213
2012-09-19,0,0,0,0,"	504879",2479935
2012-09-20,0,0,0,0,"	527113",2591372
2012-09-21,0,0,0,0,"	533328",2713972
2012-09-22,1,0.22,0,0,"	544721",2772962
2012-09-23,1,0,0,0,"	461109",2640435
2012-09-24,0,0,0,0,"	420333",2090240
2012-09-25,0,0,0,0,"	435286",2024718
2012-09-26,0,0.01,0,0,"	440115",2099445
2012-09-27,0,0.06,0,0,"	492045",2406997
2012-09-28,0,1.96,0,0,"	518680",2573484
2012-09-29,1,0,0,0,"	547796",2810319
2012-09-30,1,0,0,0,"	471676",2695858
2012-10-01,0,0,0,0,"	440313",2218808
2012-10-02,0,0.38,0,0,"	483812",2219137
2012-10-03,0,0,0,0,"	499493",2364596
2012-10-04,0,0,0,0,"	526930",2593483
2012-10-05,0,0,0,0,"	536824",2730384
2012-10-06,1,0,0,0,"	545954",2799267
2012-10-07,1,0.19,0,0,"	475409",2636747
2012-10-08,0,0,0,0,"	404473",2152218
2012-10-09,0,0.03,0,0,"	479261",2274860
2012-10-10,0,0.25,0,0,"	500107",2374902
2012-10-11,0,0,0,0,"	521018",2568539
2012-10-12,0,0,0,0,"	556519",2753120
2012-10-13,1,0,0,0,"	547776",2768323
2012-10-14,1,0,0,0,"	462850",2654839
2012-10-15,0,0.2,0,0,"	454171",2293259
2012-10-16,0,0,0,0,"	490846",2340542
2012-10-17,0,0,0,0,"	504137",2426835
2012-10-18,0,0,0,0,"	517803",2564221
2012-10-19,0,0.89,0,0,"	547098",2719771
2012-10-20,1,0,0,0,"	535041",2757593
2012-10-21,1,0,0,0,"	472616",2726443
2012-10-22,0,0,0,0,"	447455",2262293
2012-10-23,0,0.03,0,0,"	490505",2314539
2012-10-24,0,0,0,0,"	508006",2386736
2012-10-25,0,0,0,0,"	522739",2587712
2012-10-26,0,0,0,0,"	499439",2543157
2012-10-27,1,0,0,0,"	536484",2787744
2012-10-28,1,0,0,0,"	430478",2559085
2012-10-29,0,0.67,0,0,"	113808",519734
2012-10-30,0,0.27,0,0,"	181706",892622
2012-10-31,0,0.01,0,0,"	289239",1596591
2012-11-01,0,0,0,0,"	335121",1898840
2012-11-02,0,0,0,0,"	321534",1768415
2012-11-03,1,0,0,0,"	439274",2193066
2012-11-04,1,0,0,0,"	434019",2274416
2012-11-05,0,0,0,0,"	420929",1998667
2012-11-06,0,0,0,0,"	450531",2021236
2012-11-07,0,1.12,0,4.3,"	443551",1883872
2012-11-08,0,0.06,4,0.4,"	486267",2325687
2012-11-09,0,0,0,0,"	530408",2579486
2012-11-10,1,0,0,0,"	553368",2700925
2012-11-11,1,0,0,0,"	473452",2601632
2012-11-12,0,0,0,0,"	427400",2118621
2012-11-13,0,0.09,0,0,"	488583",2266995
2012-11-14,0,0,0,0,"	491671",2319688
2012-11-15,0,0,0,0,"	515282",2459507
2012-11-16,0,0,0,0,"	537113",2630068
2012-11-17,1,0,0,0,"	547382",2728622
2012-11-18,1,0,0,0,"	466313",2550402
2012-11-19,0,0,0,0,"	450664",2105220
2012-11-20,0,0,0,0,"	471367",2255439
2012-11-21,0,0,0,0,"	467989",2329071
2012-11-22,0,0,0,0,"	328991",1895165
2012-11-23,0,0.01,0,0,"	369154",1776922
2012-11-24,1,0,0,0,"	441814",2306938
2012-11-25,1,0,0,0,"	413434",2416008
2012-11-26,0,0,0,0,"	436770",2253978
2012-11-27,0,0.53,0,0,"	477516",2180678
2012-11-28,0,0,0,0,"	495402",2293245
2012-11-29,0,0,0,0,"	519636",2447835
2012-11-30,0,0,0,0,"	541088",2607913
2012-12-01,1,0,0,0,"	569805",2766169
2012-12-02,1,0.04,0,0,"	484310",2656293
2012-12-03,0,0,0,0,"	453814",2210250
2012-12-04,0,0.07,0,0,"	485435",2258685
2012-12-05,0,0,0,0,"	513343",2413726
2012-12-06,0,0,0,0,"	519812",2531642
2012-12-07,0,0.14,0,0,"	530731",2605591
2012-12-08,1,0.36,0,0,"	548773",2716623
2012-12-09,1,0.18,0,0,"	487840",2669455
2012-12-10,0,0.03,0,0,"	450641",2222657
2012-12-11,0,0.06,0,0,"	495097",2307323
2012-12-12,0,0,0,0,"	516441",2440515
2012-12-13,0,0,0,0,"	538635",2622022
2012-12-14,0,0,0,0,"	565711",2784261
2012-12-15,1,0,0,0,"	555458",2785216
2012-12-16,1,0.4,0,0,"	485255",2616437
2012-12-17,0,0.29,0,0,"	476358",2246927
2012-12-18,0,0.51,0,0,"	501673",2358747
2012-12-19,0,0,0,0,"	520226",2454058
2012-12-20,0,0.02,0,0,"	531204",2569219
2012-12-21,0,0.7,0,0,"	538657",2647262
2012-12-22,1,0,0,0,"	482527",2491069
2012-12-23,1,0,0,0,"	368788",1998310
2012-12-24,0,0.07,0,0,"	344594",1675976
2012-12-25,0,0.06,0,0,"	227615",1377461
2012-12-26,0,0.99,0,0.4,"	347026",1742431
2012-12-27,0,0.62,0,0,"	401642",2068023
2012-12-28,0,0,0,0,"	431556",2263443
2012-12-29,1,0.26,0,0,"	442861",2304068
2012-12-30,1,0,0,0,"	426739",2355057
2012-12-31,0,0,0,0,"	453957",2279274
2013-01-01,0,0,0,0,"	412630",2565421
2013-01-02,0,0,0,0,"	393000",2068685
2013-01-03,0,0,0,0,"	441233",2124198
2013-01-04,0,0,0,0,"	478437",2203792
2013-01-05,1,0,0,0,"	473804",2340142
2013-01-06,1,0,0,0,"	403667",2183487
2013-01-07,0,0,0,0,"	407363",1936804
2013-01-08,0,0,0,0,"	441777",1984819
2013-01-09,0,0,0,0,"	457471",2064282
2013-01-10,0,0,0,0,"	487949",2241637
2013-01-11,0,0.55,0,0,"	521398",2361353
2013-01-12,1,0.02,0,0,"	507429",2430494
2013-01-13,1,0,0,0,"	442541",2370004
2013-01-14,0,0.09,0,0,"	443650",2075455
2013-01-15,0,0.12,0,0,"	496899",2221123
2013-01-16,0,0.69,0,0,"	500065",2273204
2013-01-17,0,0,0,0,"	512533",2398320
2013-01-18,0,0,0,0,"	543734",2543417
2013-01-19,1,0,0,0,"	510530",2494671
2013-01-20,1,0,0,0,"	459393",2373563
2013-01-21,0,0,0,0,"	384614",2002221
2013-01-22,0,0,0,0,"	496005",2204723
2013-01-23,0,0,0,0,"	520520",2269643
2013-01-24,0,0,0,0,"	533039",2418537
2013-01-25,0,0.07,0,1.5,"	537188",2431013
2013-01-26,1,0,2,0,"	557203",2619944
2013-01-27,1,0,1,0,"	470833",2480768
2013-01-28,0,0.22,1,0,"	450789",2070537
2013-01-29,0,0.06,0,0,"	477380",2119572
2013-01-30,0,0.04,0,0,"	482378",2152479
2013-01-31,0,0.9,0,0,"	531161",2432838
2013-02-01,0,0,0,0,"	567076",2585658
2013-02-02,1,0.02,0,0.1,"	569777",2622145
2013-02-03,1,0.02,0,0.3,"	472623",2442109
2013-02-04,0,0,0,0,"	457093",2116410
2013-02-05,0,0.02,0,0.4,"	482637",2098934
2013-02-06,0,0,0,0,"	506443",2248757
2013-02-07,0,0,0,0,"	535105",2465065
2013-02-08,0,1.15,0,6.3,"	432643",1785498
2013-02-09,1,0.38,11,5.1,"	392006",1783348
2013-02-10,1,0,10,0,"	459612",2399792
2013-02-11,0,0.49,9,0,"	458947",2106983
2013-02-12,0,0,4,0,"	503963",2286236
2013-02-13,0,0.03,0,0,"	524250",2395764
2013-02-14,0,0,0,0,"	527476",2495609
2013-02-15,0,0,0,0,"	537129",2617219
2013-02-16,1,0.02,0,0,"	542291",2658286
2013-02-17,1,0,0,0,"	506209",2572696
2013-02-18,0,0,0,0,"	407103",2136917
2013-02-19,0,0.15,0,0,"	456383",2152095
2013-02-20,0,0,0,0,"	512506",2293458
2013-02-21,0,0,0,0,"	538079",2458665
2013-02-22,0,0,0,0,"	558738",2625356
2013-02-23,1,0.26,0,0,"	584812",2765167
2013-02-24,1,0.01,0,0,"	474783",2525493
2013-02-25,0,0,0,0,"	451955",2178681
2013-02-26,0,0.14,0,0,"	496612",2256100
2013-02-27,0,1.56,0,0,"	509033",2316121
2013-02-28,0,0,0,0,"	524890",2497711
2013-03-01,0,0,0,0,"	564492",2699565
2013-03-02,1,0,0,0,"	584654",2838295
2013-03-03,1,0,0,0,"	493312",2677045
2013-03-04,0,0,0,0,"	466591",2229939
2013-03-05,0,0,0,0,"	493815",2252132
2013-03-06,0,0,0,0,"	518309",2337302
2013-03-07,0,0.19,0,0,"	538316",2452678
2013-03-08,0,0.54,2,4,"	545587",2550586
2013-03-09,1,0,2,0,"	562200",2804771
2013-03-10,1,0,0,0,"	468337",2591848
2013-03-11,0,0,0,0,"	451483",2208130
2013-03-12,0,0.79,0,0,"	494922",2238661
2013-03-13,0,0,0,0,"	514843",2455256
2013-03-14,0,0,0,0,"	552660",2666400
2013-03-15,0,0,0,0,"	559360",2751518
2013-03-16,1,0.12,0,0.3,"	574056",2911157
2013-03-17,1,0,0,0,"	493734",2742138
2013-03-18,0,0.65,0,3,"	458062",2232070
2013-03-19,0,0.36,2,0,"	477028",2242907
2013-03-20,0,0,0,0,"	493779",2374171
2013-03-21,0,0,0,0,"	505003",2467026
2013-03-22,0,0,0,0,"	548247",2673800
2013-03-23,1,0,0,0,"	553331",2781636
2013-03-24,1,0,0,0,"	468001",2603361
2013-03-25,0,0.17,0,0,"	438928",2148633
2013-03-26,0,0,0,0,"	460401",2272440
2013-03-27,0,0,0,0,"	486853",2340262
2013-03-28,0,0,0,0,"	512225",2530591
2013-03-29,0,0,0,0,"	519004",2599025
2013-03-30,1,0,0,0,"	504537",2578020
2013-03-31,1,0.08,0,0,"	447157",2498487
2013-04-01,0,0,0,0,"	428997",2209352
2013-04-02,0,0,0,0,"	495549",2375574
2013-04-03,0,0,0,0,"	513864",2428752
2013-04-04,0,0,0,0,"	532590",2590597
2013-04-05,0,0,0,0,"	554436",2697163
2013-04-06,1,0,0,0,"	533177",2717024
2013-04-07,1,0,0,0,"	461165",2634727
2013-04-08,0,0,0,0,"	440520",2190470
2013-04-09,0,0,0,0,"	477161",2262794
2013-04-10,0,0.49,0,0,"	503211",2360261
2013-04-11,0,0,0,0,"	525206",2606189
2013-04-12,0,0.63,0,0,"	564860",2650436
2013-04-13,1,0.01,0,0,"	555218",2764005
2013-04-14,1,0,0,0,"	485706",2733958
2013-04-15,0,0,0,0,"	461076",2309297
2013-04-16,0,0,0,0,"	481130",2278011
2013-04-17,0,0.02,0,0,"	501840",2377353
2013-04-18,0,0.01,0,0,"	526055",2551428
2013-04-19,0,0.05,0,0,"	544060",2682577
2013-04-20,1,0.06,0,0,"	570929",2853842
2013-04-21,1,0,0,0,"	483324",2681089
2013-04-22,0,0,0,0,"	457622",2244497
2013-04-23,0,0,0,0,"	498802",2341088
2013-04-24,0,0,0,0,"	500551",2359296
2013-04-25,0,0,0,0,"	518574",2576704
2013-04-26,0,0,0,0,"	539015",2698887
2013-04-27,1,0,0,0,"	538317",2750432
2013-04-28,1,0,0,0,"	467900",2658770
2013-04-29,0,0.04,0,0,"	459114",2244218
2013-04-30,0,0,0,0,"	480499",2280562
2013-05-01,0,0,0,0,"	496654",2402738
2013-05-02,0,0,0,0,"	523150",2562281
2013-05-03,0,0,0,0,"	550959",2732645
2013-05-04,1,0,0,0,"	554561",2792925
2013-05-05,1,0,0,0,"	488396",2776421
2013-05-06,0,0,0,0,"	468128",2329271
2013-05-07,0,0,0,0,"	490805",2348102
2013-05-08,0,3.02,0,0,"	509311",2411883
2013-05-09,0,0.5,0,0,"	526752",2596406
2013-05-10,0,0.01,0,0,"	538311",2677827
2013-05-11,1,1.09,0,0,"	540132",2696923
2013-05-12,1,0,0,0,"	461193",2620946
2013-05-13,0,0,0,0,"	460124",2285572
2013-05-14,0,0,0,0,"	490347",2309489
2013-05-15,0,0,0,0,"	508359",2448062
2013-05-16,0,0,0,0,"	528160",2629976
2013-05-17,0,0,0,0,"	533823",2739782
2013-05-18,1,0.01,0,0,"	535926",2818394
2013-05-19,1,0.6,0,0,"	489710",2739173
2013-05-20,0,0,0,0,"	466778",2410958
2013-05-21,0,0,0,0,"	499524",2475377
2013-05-22,0,0,0,0,"	502907",2482017
2013-05-23,0,1.81,0,0,"	492055",2520760
2013-05-24,0,0.3,0,0,"	493125",2576921
2013-05-25,1,0.14,0,0,"	453460",2412570
2013-05-26,1,0,0,0,"	384516",2199545
2013-05-27,0,0,0,0,"	336266",2108590
2013-05-28,0,0.52,0,0,"	445789",2234338
2013-05-29,0,0,0,0,"	479913",2309773
2013-05-30,0,0,0,0,"	510309",2489888
2013-05-31,0,0,0,0,"	525606",2598728
2013-06-01,1,0,0,0,"	533686",2767484
2013-06-02,1,0.85,0,0,"	451758",2594865
2013-06-03,0,0.87,0,0,"	452843",2260565
2013-06-04,0,0,0,0,"	477247",2329508
2013-06-05,0,0,0,0,"	497524",2427830
2013-06-06,0,0.13,0,0,"	515390",2566713
2013-06-07,0,4.16,0,0,"	532092",2580542
2013-06-08,1,0.48,0,0,"	489509",2532161
2013-06-09,1,0,0,0,"	441053",2615217
2013-06-10,0,1.38,0,0,"	461167",2305626
2013-06-11,0,0.09,0,0,"	473608",2291618
2013-06-12,0,0,0,0,"	486639",2384542
2013-06-13,0,1.26,0,0,"	519795",2491224
2013-06-14,0,0.38,0,0,"	507938",2570432
2013-06-15,1,0,0,0,"	495600",2619202
2013-06-16,1,0,0,0,"	421987",2527105
2013-06-17,0,0.01,0,0,"	437845",2252776
2013-06-18,0,0.2,0,0,"	467426",2263646
2013-06-19,0,0,0,0,"	489915",2443054
2013-06-20,0,0,0,0,"	499545",2504449
2013-06-21,0,0,0,0,"	505615",2583510
2013-06-22,1,0,0,0,"	474408",2518693
2013-06-23,1,0,0,0,"	436668",2554680
2013-06-24,0,0,0,0,"	437610",2225420
2013-06-25,0,0,0,0,"	470671",2287018
2013-06-26,0,0.05,0,0,"	487692",2405495
2013-06-27,0,0.24,0,0,"	504877",2489638
2013-06-28,0,0,0,0,"	506807",2606307
2013-06-29,1,0,0,0,"	490613",2646711
2013-06-30,1,0,0,0,"	417927",2397543
2013-07-01,0,0.84,0,0,"	422480",2115591
2013-07-02,0,0.08,0,0,"	442300",2096486
2013-07-03,0,0.53,0,0,"	435265",2139755
2013-07-04,0,0,0,0,"	326471",1817407
2013-07-05,0,0,0,0,"	353054",1811423
2013-07-06,1,0,0,0,"	355218",1942122
2013-07-07,1,0,0,0,"	358766",2150741
2013-07-08,0,0.22,0,0,"	413838",2208974
2013-07-09,0,0.23,0,0,"	458674",2218015
2013-07-10,0,0,0,0,"	474780",2271125
2013-07-11,0,0,0,0,"	495023",2454440
2013-07-12,0,0.25,0,0,"	507426",2487830
2013-07-13,1,0.06,0,0,"	468743",2458466
2013-07-14,1,0,0,0,"	435797",2497410
2013-07-15,0,0,0,0,"	443449",2205067
2013-07-16,0,0,0,0,"	466846",2214086
2013-07-17,0,0,0,0,"	496511",2345267
